CDL code,Crop,Rooting depth (m),CN category,Notes,,CN category name,CN category code
0,Background,,,,,Fallow,1
1,Corn,1.7,2,,,Row crops,2
2,Cotton,1.7,2,,,Small grain,3
3,Rice,0.75,4,,,Close-seeded or broadcast legumes or rotation meadow,4
4,Sorghum,2,3,,,"Pasture, grassland, range-continuous forage for grazing",5
5,Soybeans,1.3,3,,,Meadow-continuous grass protected from grazing and generally mowed for hay,6
6,Sunflower,1.5,2,,,Brush,7
10,Peanuts,0.75,4,Peanuts are in the legume family,,Woods grass combination (orchard or tree farm),8
11,Tobacco,0.8,2,Tobacco | Land & Water | Food and Agriculture Organization of the United Nations; Similar to cotton which is grown as row crop,,Woods,9
12,Sweet Corn,1.2,2,,,,
13,Pop or Orn Corn,1.2,2,,,CN doc (table 9-1),https://www.hydrocad.net/neh/630ch9.pdf
14,Mint,0.8,2,Mint is closer to row crop,,NRCS rz depth (table 11-3),https://www.wcc.nrcs.usda.gov/ftpref/wntsc/waterMgt/irrigation/NEH15/ch11.pdf
21,Barley,1.5,3,,,,
22,Durum Wheat,1.5,3,spring wheat?,,,
23,Spring Wheat,1.5,3,,,,
24,Winter Wheat,1.8,3,,,,
25,Other Small Grains,1.5,3,"Assigned based on other small grain rooting depths (e.g. wheat, barley, oats)",,,
26,Dbl Crop WinWht/Soybeans,1.8,3,Chose the more conservative number to support more effective p,,,
27,Rye,0.8,3,,,,
28,Oats,1.5,3,Oats are considered small grains,,,
29,Millet,1.5,3,,,,
30,Speltz,1.5,3,,,,
31,Canola,1.5,2,,,,
32,Flaxseed,1.5,2,,,,
33,Safflower,2,2,,,,
34,Rape Seed,1.5,2,aka canola,,,
35,Mustard,1.2,2,Effective rooting depth of mustard under dryland conditions.,,,
36,Alfalfa,2,4,Curve number alfalfa,,,
37,Other Hay/Non Alfalfa,1,6,"used ""grass hay"" for rz depth",,,
38,Camelina,1.5,6,Decline in Soil Microbial Abundance When Camelina Introduced Into a Monoculture Wheat System - PMC,,,
39,Buckwheat,1.5,3,type of millet,,,
41,Sugarbeets,1.2,2,,,,
42,Dry Beans,0.75,2,,,,
43,Potatoes,0.6,2,,,,
44,Other Crops,1.5,2,The mode of all crops was used to assign this value. ,,,
45,Sugarcane,1.8,4,close seeded (but not legume),,,
46,Sweet Potatoes,1.5,2,same CN as potato,,,
47,Misc Vegs & Fruits,1.5,2,Assigned based on maximum depth across other MRD of other vegetatbles / fruits,,,
48,Watermelons,1.5,2,,,,
49,Onions,0.5,2,Onions are a row crop,,,
50,Cucumbers,1.2,2,Cucumbers are a row crop,,,
51,Chick Peas,0.8,2,Chick peas are a row crop,,,
52,Lentils,1,2,Lentils are row crop ,,,
53,Peas,1,4,legume,,,
54,Tomatoes,1.5,2,From HEC manual,,,
55,Caneberries,0.9,2,FAO for 'berries' - same CN as grape,,,
56,Hops,1.2,2,,,,
57,Herbs,0.6,2,generally shallow-rooted 18-24 inches,,,
58,Clover/Wildflowers,0.75,6,FAO 'clover/hay',,,
59,Sod/Grass Seed,0.75,6,turf grass,,,
60,Switchgrass,2,6,Native Plant Profile: Switchgrass (Panicum virgatum),,,
61,Fallow/Idle Cropland,0.5,1,"Presume vegetated w/ weeds/grasses, as opposed to Barren (#65).  Probably modest rz.",,,
63,Forest,,,,,,
64,Shrubland,,,,,,
65,Barren,0.5,1,**THOUGHT FROM AJ: If we set RZ to 0 then all ET will be ETAW? Instead we want all ET to be Peff correct? We may want to set this to 0.5 like fallow,you're correct AJ (this is conor),,
66,Cherries,1.5,8,,,,
67,Peaches,1.5,8,,,,
68,Apples,1.5,8,,,,
69,Grapes,2,8,treating as orchard or tree farm,,,
70,Christmas Trees,1.25,8,,,,
71,Other Tree Crops,1.5,8,,,,
72,Citrus,1.5,8,,,,
74,Pecans,1,8,https://www.researchgate.net/publication/364138857_Root_and_Shoot_Growth_of_Field-_and_Container-grown_Pecan_Nursery_Trees_Five_Years_After_Transplanting/figures?lo=1&utm_source=google&utm_medium=organic,,,
75,Almonds,1.5,8,,,,
76,Walnuts,2.4,8,,,,
77,Pears,1.5,8,,,,
81,Clouds/No Data,,,,,,
82,Developed,,,,,,
83,Water,,,,,,
87,Wetlands,,,,,,
88,Nonag/Undefined,,,,,,
92,Aquaculture,,,,,,
111,Open Water,,,,,,
112,Perennial Ice/Snow,,,,,,
121,Developed/Open Space,,,,,,
122,Developed/Low Intensity,,,,,,
123,Developed/Med Intensity,,,,,,
124,Developed/High Intensity,,,,,,
131,Barren,,,,,,
141,Deciduous Forest,,,,,,
142,Evergreen Forest,,,,,,
143,Mixed Forest,,,,,,
152,Shrubland,,,,,,
176,Grass/Pasture,1.5,5,,,,
