mukey,aws025wta,aws050wta,aws0100wta,aws0150wta,hydgrpdcd
49315,5.53,10.1,14.12,15.74,D
49316,5.43,10.58,17.4,23.54,C
49317,4.15,8.51,17.24,25.96,C
49318,3.22,4.93,7.88,10.83,B
49319,5.08,10.08,20.08,26.4,C
49320,5.01,9.94,19.79,26.14,C
49321,4.83,6.54,8.89,10.87,A
49322,4.81,9.45,18.64,27.76,B
49323,7.0,12.22,12.22,12.22,D
49324,6.79,12.63,17.11,21.46,D
49325,6.67,12.87,13.57,14.27,D
49326,4.68,7.58,10.73,13.69,B
49327,4.74,7.72,11.03,14.08,B
49328,3.62,5.81,8.64,11.29,B
49329,5.32,10.44,20.02,29.59,B
49330,6.9,12.12,16.93,21.73,D
49331,4.74,6.51,8.66,10.7,B
49332,4.66,7.69,11.6,13.95,B
49333,4.58,8.99,14.76,17.22,B
49334,7.0,12.26,12.27,12.27,D
49335,1.9,2.9,4.9,6.9,
49336,4.85,8.98,17.17,25.3,B
49337,6.69,11.93,16.84,16.84,D
49338,6.65,11.9,17.36,17.36,D
49339,6.43,10.63,11.13,11.45,D
49340,6.43,10.63,11.13,11.45,D
49341,8.0,16.0,31.22,34.22,B
49342,8.0,15.04,19.04,21.2,B
49343,4.39,6.66,11.01,14.77,B
49344,7.39,14.66,23.39,25.39,B
49345,7.32,14.42,26.75,32.11,D
49346,5.39,10.65,15.76,18.56,B
49347,,,,,
49348,4.63,6.25,9.03,11.62,B
49349,4.09,7.89,14.89,21.62,D
49350,6.12,9.8,16.94,22.2,B
49351,6.21,10.03,17.39,22.88,B
49353,5.41,10.34,15.43,17.62,B
49354,5.35,10.15,15.04,17.21,B
49355,5.41,10.34,15.43,17.62,B
49356,5.43,8.05,10.77,12.94,B
49357,5.43,8.05,10.77,12.94,B
49358,5.43,8.05,10.77,12.94,B
49359,4.63,6.25,9.03,11.62,B
49360,5.43,8.05,10.77,12.94,B
49361,5.9,10.9,20.93,23.17,B/D
49362,4.81,10.01,19.35,22.77,B
49363,5.03,10.48,14.08,14.78,D
49364,3.93,5.8,9.2,12.4,A
49365,3.81,5.67,9.2,12.52,A
49366,3.81,5.67,9.2,12.52,A
49367,3.81,5.67,9.2,12.52,A
49368,5.08,7.63,8.12,8.45,D
49369,6.15,7.95,8.76,9.06,D
49370,7.2,7.88,8.9,9.66,D
49371,5.74,10.0,15.33,17.35,C
49372,5.44,9.85,14.57,16.47,B
49373,4.46,8.87,12.22,12.55,D
49374,5.04,8.99,13.16,13.8,D
49376,6.21,10.12,17.46,22.69,B
49377,6.18,9.95,17.05,22.28,B
49378,7.17,12.81,21.63,30.19,C/D
49379,,,,,
49380,,,,,D
49381,6.23,12.49,16.1,19.14,B
49382,7.75,15.47,29.73,45.13,D
49383,6.67,13.18,22.56,31.85,D
49384,6.4,12.54,20.03,27.15,D
49385,6.38,12.5,19.91,26.92,D
49386,5.0,10.0,20.0,30.0,D
49387,6.57,13.11,24.15,34.36,D
49388,6.04,11.9,15.2,16.41,D
49389,,,,,
49390,7.4,14.82,28.97,41.03,D
49391,8.28,13.03,21.45,29.71,D
49392,7.43,9.15,12.56,15.94,A
49393,6.09,11.03,20.45,23.94,D
49394,6.49,13.03,24.51,35.72,C
49395,6.0,11.89,22.62,32.78,B
49396,6.51,12.96,20.41,23.8,C
49397,6.58,13.19,18.87,22.68,B
49398,6.58,13.19,18.87,22.68,B
49399,6.58,13.19,18.76,22.57,B
49400,6.54,13.11,18.12,21.32,B
49401,6.58,13.17,18.31,21.52,B
49402,6.23,12.49,16.98,19.56,B
49403,6.25,12.54,17.48,20.66,B
49404,5.1,9.51,13.55,15.72,B
49405,6.45,13.02,26.15,37.67,B
49406,6.44,13.0,26.1,37.57,B
49407,6.42,12.97,26.04,37.42,B
49408,,,,,D
49409,,,,,A
49410,7.04,14.06,28.09,42.09,D
49411,5.29,9.97,19.32,24.44,B
49412,7.69,15.06,29.5,43.54,D
49413,7.63,15.14,29.73,43.77,D
49414,8.2,16.04,30.13,43.18,D
49415,8.45,16.87,33.69,50.48,D
49416,6.25,12.53,23.9,34.51,B
49417,6.85,13.73,26.14,38.34,B
49418,6.82,13.6,26.15,38.07,B
49419,7.19,14.27,26.99,38.8,B
49420,6.5,13.07,25.49,37.7,D
49421,5.49,9.61,15.53,19.22,B
49422,5.45,9.57,15.34,18.92,B
49423,7.75,15.47,30.87,46.23,D
49424,3.56,9.35,20.92,32.5,D
49425,,,,,
49426,2.22,3.4,5.4,7.4,B
49427,6.27,10.05,10.78,10.78,D
49428,1.8,3.05,5.55,8.05,C
49429,7.0,12.7,15.63,16.61,D
49430,7.0,12.7,15.63,16.61,D
49431,7.0,12.7,15.63,16.61,D
49432,6.63,12.41,16.21,18.31,D
49433,6.86,12.81,20.16,26.46,D
49434,5.69,10.86,12.21,12.28,D
49435,,,,,A
49436,4.24,7.38,9.88,12.38,B
49437,5.26,10.53,21.05,24.5,B
49438,5.26,10.53,21.05,24.5,B
49439,5.25,10.5,21.0,24.02,B
49440,5.25,10.5,20.61,23.62,B
49441,7.0,10.42,11.4,12.38,D
49442,7.0,10.42,11.4,12.38,D
49443,5.25,10.5,16.44,18.89,B
49444,5.25,10.5,16.44,18.89,B
49445,5.25,10.5,16.44,18.89,B
49446,5.25,10.44,15.73,18.23,B
49447,,,,,
49448,5.1,10.19,20.37,23.06,B
49449,5.83,9.42,10.67,10.67,B
49450,5.47,10.85,12.66,12.83,D
49451,5.88,11.47,13.91,14.61,C
49452,5.88,11.47,13.91,14.61,C
49453,,,,,
49454,4.94,8.97,16.9,19.34,B
49455,4.77,8.04,13.12,14.64,B
49456,4.57,6.02,6.47,6.57,D
49457,3.52,5.59,8.26,10.41,C
49458,3.54,5.52,7.91,9.81,C
49459,3.51,5.08,6.71,8.14,C
49460,5.73,7.95,9.43,9.7,D
49461,5.72,8.04,9.48,9.56,D
49462,3.1,5.24,7.64,9.02,C
49463,3.07,5.22,7.56,8.71,C
49464,4.0,5.82,5.82,5.82,D
49465,1.84,3.14,5.49,7.79,B
49466,3.28,4.88,6.98,8.63,C
49467,3.14,4.27,5.72,6.98,D
49468,3.2,4.08,5.11,5.98,D
49469,6.03,11.84,22.49,32.79,C
49470,5.7,11.12,21.33,31.53,C
49471,4.38,6.75,11.43,16.12,D
49472,1.85,3.21,5.92,8.64,C
49473,2.71,3.96,5.07,5.37,D
49474,2.87,4.12,5.11,5.11,D
49475,7.58,14.94,26.19,26.29,D
49476,6.96,13.8,27.16,40.31,D
49477,3.35,5.41,8.6,11.39,C
49478,3.37,5.45,8.59,11.29,C
49479,3.39,3.72,3.88,4.01,D
49480,3.64,3.93,4.09,4.22,D
49481,3.87,4.09,4.09,4.09,D
49482,0.95,1.16,1.46,1.73,D
49483,4.4,7.11,7.39,7.56,C
49484,4.4,7.11,7.39,7.56,C
49485,3.04,3.82,4.28,4.5,D
49486,3.04,3.82,4.28,4.5,D
49487,7.76,12.71,15.51,15.7,D
49488,7.83,13.08,17.07,18.72,D
49489,2.88,3.19,3.19,3.19,D
49490,2.84,3.2,3.2,3.2,D
49491,2.99,3.29,3.29,3.29,D
49492,3.13,4.67,7.05,9.2,C
49493,3.11,4.58,6.78,8.76,C
49494,3.07,4.18,5.7,7.05,D
49495,5.31,9.92,14.92,16.98,D
49496,5.15,9.47,14.16,16.12,D
49497,4.28,6.97,9.79,10.49,D
49498,3.47,5.61,8.42,10.82,C
49499,3.38,5.26,7.75,9.88,C
49500,4.13,7.88,10.89,13.07,B
49501,2.93,3.57,4.1,4.63,D
49502,2.85,3.43,3.88,4.27,D
49503,4.55,7.2,9.49,11.7,B
49504,,,,,
49505,5.31,8.66,8.78,8.78,D
49506,2.57,4.83,6.88,7.0,C
49507,2.19,3.28,3.28,3.28,D
49508,4.39,5.87,6.11,6.31,B
49509,4.78,6.18,6.18,6.18,D
49510,6.38,11.35,18.55,18.55,D
49511,2.76,4.76,7.11,8.36,C
49512,1.9,2.78,3.07,3.32,D
49513,1.02,1.28,1.28,1.28,D
49514,3.35,5.27,7.9,10.15,C
49515,3.7,6.7,6.82,6.82,D
49516,1.1,1.1,1.1,1.1,D
49517,1.1,1.1,1.1,1.1,D
49518,4.34,6.51,6.54,6.54,D
49519,3.32,4.99,5.01,5.01,D
49520,2.63,3.76,3.76,3.76,D
49521,2.37,3.7,5.43,6.56,D
49522,2.1,3.23,4.67,5.54,D
49523,3.35,5.34,8.32,10.92,C
49524,3.91,6.72,8.91,10.49,B
49525,3.76,5.8,7.57,9.3,B
49526,2.92,3.17,3.67,4.17,D
49527,7.7,13.5,17.41,18.28,D
49528,5.98,11.96,16.59,18.89,B
49529,6.93,11.38,17.18,17.18,D
49530,3.48,5.68,9.4,12.8,C
49531,3.19,5.12,8.71,12.1,C
49532,3.02,4.68,7.65,10.63,C
49533,5.2,6.43,7.56,8.26,D
49534,6.0,12.0,24.0,36.0,D
49535,2.84,2.92,3.08,3.24,D
49536,2.8,2.8,2.8,2.8,D
49537,3.82,5.21,8.0,10.79,B
49538,2.8,2.8,2.8,2.8,D
49539,2.8,2.8,2.8,2.8,D
49540,5.37,9.62,9.95,10.15,D
49541,5.28,10.24,11.75,13.1,B
49542,2.83,4.01,4.3,4.48,D
49543,2.83,4.01,4.3,4.48,D
49544,2.64,3.36,3.36,3.36,D
49545,4.62,8.04,8.89,8.89,D
49546,2.5,5.0,7.24,7.24,C
49547,2.5,5.0,7.24,7.24,C
49548,5.56,10.85,12.93,12.93,D
49549,7.37,9.22,12.11,14.38,D
49550,8.01,15.88,19.27,20.47,D
49551,7.85,15.44,18.22,18.82,D
49552,3.15,4.08,4.08,4.08,D
49553,3.15,4.08,4.08,4.08,D
49554,3.14,4.06,4.06,4.06,D
49555,2.64,4.04,4.94,4.94,D
49556,2.56,4.0,4.91,4.91,D
49557,7.86,15.71,30.81,45.48,D
49558,5.82,11.25,21.58,31.78,D
49559,5.59,10.82,21.02,31.22,D
49560,3.15,5.39,8.67,11.72,A
49561,7.84,14.9,17.93,20.08,D
49562,7.99,15.67,30.41,44.74,D
49563,6.99,13.78,24.41,33.05,D
49564,7.69,15.16,23.81,31.4,D
49565,4.19,7.48,13.29,18.97,B
49566,4.1,7.41,13.58,19.76,B
49567,,,,,
49568,5.1,7.19,7.67,8.14,B
49569,,,,,
49570,2.67,5.02,7.18,7.31,C
49571,4.94,8.36,8.48,8.58,C
49572,3.38,5.38,8.3,10.8,
49573,3.48,5.62,8.97,12.32,
49574,4.74,9.03,17.03,25.03,B
49575,5.0,9.76,18.76,27.76,B
49576,4.56,8.33,15.08,21.83,B
49577,4.93,5.71,5.91,6.11,D
49578,5.82,7.39,8.05,8.28,D
49579,4.37,4.91,5.57,5.79,D
49580,6.25,11.68,22.23,32.78,D
49581,5.68,11.1,16.68,18.48,D
49582,5.55,10.85,16.47,18.52,D
49583,5.65,9.15,9.15,9.15,D
49584,5.1,8.25,8.63,9.0,D
49585,,,,,
49623,5.54,10.21,13.28,15.23,B
49624,5.24,8.85,11.47,11.72,C
49625,5.24,8.85,11.47,11.72,C
49626,5.24,8.85,11.47,11.72,C
49627,5.04,7.68,11.68,15.68,D
49628,6.26,8.13,10.29,12.29,A
49629,3.41,6.28,7.2,7.2,C
49630,3.41,6.28,7.2,7.2,C
49631,3.41,6.28,7.2,7.2,C
49632,3.16,5.44,5.98,6.26,C
49633,6.76,10.64,16.66,22.66,D
49634,6.21,10.73,18.19,25.13,D
49635,8.06,13.62,19.05,19.17,D
49636,8.06,13.62,19.05,19.17,D
49637,8.06,13.62,19.05,19.17,D
49638,6.04,10.59,11.56,11.8,D
49639,6.04,10.59,11.56,11.8,D
49640,6.09,10.68,11.59,11.59,D
49641,6.09,10.68,11.59,11.59,D
49642,6.5,11.5,19.15,21.29,B
49643,6.5,11.5,19.15,21.29,B
49644,6.37,11.28,18.98,21.12,B
49645,6.37,11.28,18.98,21.12,B
49646,7.24,14.31,24.78,33.94,D
49647,6.9,13.24,18.94,20.59,D
49648,6.92,13.53,19.68,21.33,D
49649,6.92,13.53,19.68,21.33,D
49650,8.05,16.09,31.4,46.15,D
49651,,,,,
49652,6.18,12.24,20.94,28.62,D
49653,6.18,12.24,20.94,28.62,D
49654,7.02,13.71,24.01,30.94,D
49655,8.07,12.65,17.75,18.38,D
49656,7.46,9.24,9.8,9.8,D
49657,7.46,9.24,9.8,9.8,D
49658,7.46,9.24,9.8,9.8,D
49659,5.92,7.8,8.59,8.59,D
49660,5.92,7.8,8.59,8.59,D
49661,5.92,7.8,8.59,8.59,D
49662,7.73,9.77,10.66,10.66,D
49663,7.73,9.77,10.66,10.66,D
